f;Z', Om·cm;"Z"", Om·cm";logf;ω;Cu;φ;σu;σspec, Sm/cm;logσspec;ε';"ε""";β';"β""";tanδ;M';"M"""
10000000;229.87528845927577;579.9201654884109;7.0;62831853.071795866;2.484053481223546e-10;68.3770579163;0.006186783046767315;0.0005907111934765103;-3.2286247995518638;267.8747248139258;106.18320124407;0.0037330882960108737;0.009417685549915051;0.39639126579720496;0.0032261725872187886;0.0012788266355278992
6812790;130.65048296039527;2182.823115780598;6.833325002289346;42806022.02890001;1.1168971846424737e-10;86.5747104273;0.0002861610641003317;2.7322526492914638e-05;-4.5634791442584675;120.4436733118092;7.209023935081699;0.008302636182567777;0.1387150339637022;0.05985390296440645;0.008272998251542906;0.0004951712345725534
4641420;125.71347411692659;4194.2883553108195;6.666650869308781;29162901.948449474;8.554816321002847e-11;88.2832139459;7.477647193777803e-05;7.139623072027359e-06;-5.146324715683158;92.25320972934763;2.7650629882966897;0.010839731245490525;0.36165541408371726;0.02997253966998903;0.010830002079178554;0.0003246026669442429
3162100;131.5873347851421;6881.582235932218;6.499975600182359;19868060.25983257;7.65750251368521e-11;88.9045425941;2.909165329310677e-05;2.7776576464815984e-06;-5.556321283222688;82.57678001381056;1.5790058193912357;0.01210994180001636;0.6333098888676271;0.019121668574715006;0.012105515560986635;0.0002314776564832416
2154280;162.07091811669645;10575.237819834932;6.333302149543218;13535740.443550838;7.315020278287979e-11;89.1219816663;1.517443403065731e-05;1.4488479665152994e-06;-5.838977184416752;78.88352883165395;1.2089303484080516;0.01267691766343401;0.8271775138384307;0.015325510487595463;0.01267394091881289;0.00019423461447043222
1467660;172.7710852749428;15926.960639219713;6.166625458014593;9221579.74793519;7.130177666297753e-11;89.3784962507;7.132533702175813e-06;6.810110301063816e-07;-6.166845853908738;76.8902277938526;0.834083062293065;0.01300555387455817;1.1989213607225107;0.010847712202508915;0.013004023653902935;0.00014106390607215738
1000000;241.39966285457325;23560.664323939836;6.0;6283185.307179586;7.074189628937995e-11;89.4129750457;4.554132824853367e-06;4.348265028665165e-07;-6.361683993339413;76.28646542665794;0.7816217225950791;0.013108485160600385;1.2793912593420236;0.010245876751840506;0.013107109202616162;0.0001342938254629197
681279;361.1360376673381;34678.401482772635;5.833325002289346;4280602.202890001;7.054701611909059e-11;89.4033513091;3.144816276062526e-06;3.0026560841953455e-07;-6.522494407824181;76.07631104639782;0.7922480955557423;0.013144696243093527;1.2622308663279587;0.010413860565249566;0.013143270875188842;0.00013687219026552226
464142;568.6682798454416;50910.43914415618;5.666650869308781;2916290.1948449477;7.053390404433195e-11;89.3600342494;2.2976338519317853e-06;2.1937702107654045e-07;-6.658808865103624;76.06217128071137;0.8496124730143181;0.013147139808952447;1.1770072024156213;0.011169973966149079;0.013145499667064402;0.00014683488905313074
316210;922.1284455988639;74638.46140643826;5.499975600182359;1986806.025983257;7.061634827656862e-11;89.2921694898;1.7333627725522257e-06;1.6550067852097864e-07;-6.781200221360693;76.15107728128595;0.9408162119217258;0.013131790589202197;1.0629068539937088;0.012354601477882579;0.013129786508775778;0.00016221327980560398
