f;Z', Om·cm;"Z"", Om·cm";logf;ω;Cu;φ;σu;σspec, Sm/cm;logσspec;ε';"ε""";β';"β""";tanδ;M';"M"""
10000000;242.77577314285926;582.7280494973987;7.0;62831853.071795866;2.4374419263647104e-10;67.3824457696;0.006380483179224563;0.000609205592836476;-3.2152361182597144;262.848239866907;109.50765920392328;0.003804476683984451;0.009131781349995047;0.4166193361590414;0.003241793217362348;0.0013505937381823846
6812790;149.7982548928568;2203.330426144043;6.833325002289346;42806022.02890001;1.1053565464716225e-10;86.1106059035;0.0003216876444370766;3.071458800731075e-05;-4.512655305750622;119.19915692053121;8.10401630165118;0.00838932108107685;0.12339560568211735;0.06798719480083269;0.008350721884554718;0.0005677421554927984
4641420;153.97654297454713;4233.219748124042;6.666650869308781;29162901.948449474;8.472545957299088e-11;87.9168767498;8.987283100420631e-05;8.581016476947119e-06;-5.066461264111463;91.36602468264603;3.3232918352975496;0.010944987521055395;0.300906465504696;0.03637338766615696;0.010930526179906787;0.00039758026613682734
3162100;176.27740586062706;6938.302408750152;6.499975600182359;19868060.25983257;7.592778880549011e-11;88.5446326061;3.8326542871629444e-05;3.6594006465700393e-06;-5.43659003952428;81.87881495201259;2.08024733492167;0.012213171387325018;0.48071206880678646;0.025406417229424463;0.012205293041096386;0.00031009276740948566
2154280;234.7299858108364;10650.374267553056;6.333302149543218;13535740.443550838;7.261592837045004e-11;88.7374283558;2.1662950869675343e-05;2.068368563390196e-06;-5.684372071581615;78.3073793554589;1.7258632967471994;0.012770188559889392;0.5794201672199288;0.022039599728054075;0.012763988529604477;0.0002813131981259562
1467660;294.6962813281723;16020.601719626251;6.166625458014593;9221579.74793519;7.086937600805826e-11;88.9461725971;1.2021530625738324e-05;1.1478102027603527e-06;-5.940129919175376;76.42393668006868;1.4058054958376034;0.01308490563874341;0.7113359586093968;0.01839483225946193;0.013080479598773235;0.0002406132280927476
1000000;447.7822100924334;23661.452702742215;6.0;6283185.307179586;7.042273756778683e-11;88.9158328968;8.373715522648265e-06;7.995184981960744e-07;-6.097171483673164;75.9422918596838;1.4371732672386928;0.013167893350488668;0.6958103262812187;0.018924544309172453;0.013163179110881655;0.0002491071663334532
681279;718.2078862122256;34774.319773685886;5.833325002289346;4280602.202890001;7.033005513112757e-11;88.8168156445;6.217808677084096e-06;5.936735063577358e-07;-6.226452331736524;75.84234521037514;1.5664021839512712;0.013185246279319975;0.6384056471866543;0.02065339856786218;0.013179624340903928;0.00027220403448738675
464142;1177.6427019291925;50930.174266328504;5.666650869308781;2916290.1948449477;7.047768806653043e-11;88.6754034079;4.752485162375853e-06;4.5376509262165363e-07;-6.343168916703393;76.00154923816054;1.7573603680913557;0.01315762652240644;0.5690352520502587;0.023122691388624765;0.013150595440078872;0.0003040771599375998
316210;1980.798472605018;74461.34310627943;5.499975600182359;1986806.025983257;7.074506210254267e-11;88.4761941106;3.7390478890966847e-06;3.570025689179785e-07;-6.447328658781677;76.28987936817;2.0294406496536657;0.013107898561145508;0.4927466098457499;0.02660170217152549;0.013098629308800564;0.0003484458357279274
215428;3363.406567715921;108759.86988050448;5.333302149543218;1353574.044355084;7.107614190178211e-11;88.2286885457;2.9752026502546744e-06;2.840709776116567e-07;-6.546573134129759;76.64690835640674;2.370310991032816;0.01304684065468131;0.42188556851110487;0.03092506980204489;0.013034375100462818;0.0004030889598078486
146766;5801.608881839832;158455.2140453976;5.166625458014593;922157.9747935191;7.158071314508284e-11;87.9031344092;2.416814178454248e-06;2.307563037161329e-07;-6.636846426242513;77.19102660494633;2.826237989374632;0.012954873694294421;0.3538272444711113;0.036613556182364976;0.012937530255813784;0.00047368899088228464
99989;9969.01242264663;231002.41694102154;4.9999522249793165;628249.4156795796;7.203324748367454e-11;87.5289083447;1.95299306542094e-06;1.8647087764439287e-07;-6.729388985120298;77.67902942910209;3.352273190957841;0.01287348731503788;0.29830504348432035;0.043155446400337326;0.012849556396881966;0.0005545283423537512
68120;17382.15001130308;336537.50371115614;4.833274639290563;428010.5831250734;7.251780943580426e-11;87.0433023854;1.6031317266685682e-06;1.530662782906641e-07;-6.8151204772663885;78.20157010933782;4.039108294826531;0.012787467036810721;0.247579397977728;0.05164996417820302;0.012753444433336135;0.0006587149481305142
46409;31028.884212499288;489547.88161608734;4.666602210540106;291596.3469208974;7.307540061052098e-11;86.3732881487;1.350592292495092e-06;1.2895392952510583e-07;-6.889565419364988;78.80286385609058;4.994741127531881;0.012689894136667358;0.20021057637758766;0.06338273614843813;0.012639118107064064;0.0008011018881289883
