10000000;59.5619430542;-68.3770579163
6812790;208.78793335;-86.5747104273
4641420;400.64855957;-88.2832139459
3162100;657.170410156;-88.9045425941
2154280;1009.83740234;-89.1219816663
1467660;1520.78833008;-89.3784962507
1000000;2249.67944336;-89.4129750457
681279;3311.25732422;-89.4033513091
464142;4861.20849609;-89.3600342494
316210;7126.98974609;-89.2921694898
215428;10435.5820312;-89.2027554834
146766;15254.4970703;-89.0752631724
99989;22315.2597656;-88.9785955051
68120;32638.4238281;-88.8642922894
46409;47686.1679688;-88.7001491833
31618;69642.640625;-88.5282606427
21540;101663.148438;-88.3206843636
14675;148243.140625;-88.1034501971
9997;216137.484375;-87.7963785525
6811;315001.84375;-87.3992030524
4640;458428.59375;-86.918432867
3161;666914.4375;-86.2310426291
2153;970374.4375;-85.3916533614
1467;1405970.0;-84.1725943684
999;2033987.875;-82.4804559831
681;2938221.25;-80.0977786426
464;4214534.0;-76.8197454644
316;5935963.0;-72.1195029768
215;8321282.5;-66.2122841009
146;11078657.0;-56.7683078962
99;16346559.0;-50.0429655466
68;17372282.0;-38.4800358504
46;19073226.0;-31.9949727256
31;20942410.0;-21.2888868456
25;21879224.0;-21.6679742972
