10000000;60.274143219;-67.3824457696
6812790;210.858612061;-86.1106059035
4641420;404.453155518;-87.9168767498
3162100;662.6796875;-88.5446326061
2154280;1017.13977051;-88.7374283558
1467660;1529.8984375;-88.9461725971
1000000;2259.58911133;-88.9158328968
681279;3320.9440918;-88.8168156445
464142;4864.08935547;-88.6754034079
316210;7112.04980469;-88.4761941106
215428;10389.3066406;-88.2286885457
146766;15139.3681641;-87.9031344092
99989;22076.5332031;-87.5289083447
68120;32175.2773438;-87.0433023854
46409;46835.6015625;-86.3732881487
31618;68085.5546875;-85.4587394794
21540;98884.515625;-84.2079815785
14675;143230.5;-82.4604640194
9997;206869.8125;-79.9867880686
6811;296779.5;-76.5082820082
4640;420817.75;-71.6728086052
3161;584401.625;-65.1917923674
2153;783118.375;-56.9398276066
1467;996015.375;-47.1219907524
999;1186539.625;-36.9268849845
681;1328370.375;-27.5474762655
464;1416369.375;-19.8210330895
316;1467785.5;-14.0744320883
215;1494327.875;-9.85518945115
146;1503377.875;-6.95466381652
99;1467482.25;-4.95033669419
68;1524137.25;-3.75715173844
46;1514637.75;-0.304214437768
31;1536867.125;-2.45876607469
25;1541400.375;-2.21230552874
