10000000;60.1551322937;-68.3859849736
6812790;210.440338135;-86.5545135579
4641420;403.625946045;-88.2446370374
3162100;661.796569824;-88.8460556843
2154280;1016.45275879;-89.0372804904
1467660;1530.3046875;-89.2665289597
1000000;2262.94750977;-89.2671709975
681279;3328.52612305;-89.2177204279
464142;4883.20507812;-89.1323635539
316210;7151.86767578;-89.0108066772
215428;10462.7714844;-88.8612596854
146766;15279.7734375;-88.6596051804
99989;22315.7207031;-88.4748827143
68120;32588.9492188;-88.2263594512
46409;47534.078125;-87.9272039958
31618;69289.6484375;-87.5394131756
21540;100907.679688;-87.0476395555
14675;146776.03125;-86.4306958887
9997;213385.03125;-85.572530431
6811;309823.53125;-84.4007636678
4640;448899.40625;-82.7409047565
3161;648644.6875;-80.4491304036
2153;932709.4375;-77.197222699
1467;1324656.125;-72.6779597338
999;1848299.75;-66.5288018972
681;2497241.75;-58.5734620066
464;3210353.0;-48.8035184389
316;3870620.5;-38.8722936144
215;4398795.0;-29.1547546731
146;4748123.5;-20.8852909676
99;5132574.0;-14.1159732988
68;5064996.5;-9.8812995568
46;5134178.5;-6.14679202988
31;5094642.0;-5.07587386356
25;5128283.0;-4.4547778686
